 0	 649.000	0.00000000	0.03	1.0000
 1	   0.000	0.00000000	0.22	1.0000
 2	 921.000	0.00000000	0.46	1.0000
 3	  -6.000	0.00000000	1.47	1.0000
 4	 -10.000	0.00000000	0.37	1.0000
 5	 925.000	0.00000000	0.57	1.0000
 6	 923.000	0.00000000	0.38	1.0000
 7	  -2.000	0.00000000	0.36	1.0000
 8	   0.000	0.00000000	0.49	1.0000
 9	 925.000	0.00000000	1.40	1.0000
10	 925.000	0.00000000	0.39	1.0000
11	 -10.000	0.00000000	0.33	1.0000
12	   0.000	0.00000000	0.38	1.0000
13	  -1.000	0.00000000	0.26	1.0000
14	 925.000	0.00000000	0.18	1.0000
15	  -2.000	0.00000000	0.41	1.0000
16	   0.000	0.00000000	0.19	1.0000
17	 925.000	0.00000000	0.22	1.0000
18	 925.000	0.00000000	0.30	1.0000
19	 925.000	0.00000000	0.18	1.0000
20	  -1.000	0.00000000	0.28	1.0000
21	 925.000	0.00000000	0.47	1.0000
22	 925.000	0.00000000	0.41	1.0000
23	 922.000	0.00000000	0.96	1.0000
24	  -5.000	0.00000000	1.11	1.0000
25	 649.000	0.00000000	0.28	1.0000
26	 925.000	0.00000000	0.38	1.0000
27	   0.000	0.00000000	0.21	1.0000
28	   0.000	0.00000000	0.48	1.0000
29	 925.000	0.00000000	0.31	1.0000
30	 924.000	0.00000000	0.11	1.0000
31	  -4.000	0.00000000	0.06	1.0000
32	   0.000	0.00000000	0.22	1.0000
33	  -5.000	0.00000000	0.61	1.0000
34	 920.000	0.00000000	1.33	1.0000
35	 922.000	0.00000000	2.12	1.0000
36	  -3.000	0.00000000	0.67	1.0000
37	  -5.000	0.00000000	0.78	1.0000
38	  -6.000	0.00000000	0.32	1.0000
39	  -3.000	0.00000000	0.40	1.0000
40	 654.000	0.00000000	0.39	1.0000
41	  80.000	0.00000000	0.59	1.0000
42	   0.000	0.00000000	0.23	1.0000
43	 925.000	0.00000000	0.45	1.0000
44	 925.000	0.00000000	0.38	1.0000
45	 925.000	0.00000000	0.42	1.0000
46	 925.000	0.00000000	0.39	1.0000
47	   0.000	0.00000000	0.33	1.0000
48	  -1.000	0.00000000	0.13	1.0000
49	  -1.000	0.00000000	0.04	1.0000
50	 924.000	0.00000000	1.10	1.0000
51	   0.000	0.00000000	0.22	1.0000
52	 925.000	0.00000000	0.46	1.0000
53	   0.000	0.00000000	0.40	1.0000
54	   0.000	0.00000000	0.58	1.0000
55	   0.000	0.00000000	0.42	1.0000
56	 925.000	0.00000000	0.22	1.0000
57	 925.000	0.00000000	0.35	1.0000
58	   0.000	0.00000000	0.39	1.0000
59	   0.000	0.00000000	0.37	1.0000
60	   0.000	0.00000000	0.19	1.0000
61	 925.000	0.00000000	0.46	1.0000
62	 924.000	0.00000000	0.45	1.0000
63	  -2.000	0.00000000	0.38	1.0000
64	 263.000	0.00000000	0.19	1.0000
65	 526.000	0.00000000	0.22	1.0000
66	 924.000	0.00000000	1.05	1.0000
67	 923.000	0.00000000	0.44	1.0000
68	   0.000	0.00000000	0.38	1.0000
69	 925.000	0.00000000	0.39	1.0000
