Index, #Predicates, #Actions, #States, #Traces, TPR, TNR, FPR, FNR
1 12 13 4096 201 0.2289 0.6866 0.0647 0.0199
2 27 36 134217728 201 0.0000 0.8010 0.0000 0.1990
3 18 22 262144 201 0.0348 0.6567 0.0100 0.2985
4 25 62 33554432 201 0.0000 0.9453 0.0000 0.0547
5 25 39 33554432 201 0.0149 0.7463 0.0100 0.2289
6 20 21 1048576 201 0.1393 0.6716 0.1294 0.0597
7 26 30 67108864 201 0.0000 0.8010 0.0000 0.1990
8 20 33 1048576 201 0.0000 0.7015 0.0000 0.2985
9 20 33 1048576 201 0.2587 0.6766 0.0100 0.0547
